participant_id,run,puzzle_id,attempt,pnp,frame
63,2,7,0,0,2023-07-19-085424_63_2_7_0_frames.json
46,1,9,0,0,2022-10-31-090239_46_1_9_0_frames.json
32,2,27,3,0,2022-10-27-083816_32_2_27_3_frames.json
59,1,27,0,0,2023-07-14-080528_59_1_27_0_frames.json
36,1,20,7,0,2022-10-27-134130_36_1_20_7_frames.json
57,2,19,1,0,2023-07-13-145327_57_2_19_1_frames.json
55,2,26,0,0,2023-07-13-082819_55_2_26_0_frames.json
60,2,3,0,0,2023-07-14-090808_60_2_3_0_frames.json
59,1,5,0,0,2023-07-14-080528_59_1_5_0_frames.json
56,2,7,0,0,2023-07-13-145118_56_2_7_0_frames.json
65,2,18,0,0,2023-07-19-141954_65_2_18_0_frames.json
33,1,11,2,0,2022-10-27-092230_33_1_11_2_frames.json
63,2,26,0,0,2023-07-19-085424_63_2_26_0_frames.json
34,1,7,1,0,2022-10-27-103120_34_1_7_1_frames.json
39,2,14,0,0,2022-10-27-141748_39_2_14_0_frames.json
63,1,7,0,0,2023-07-19-080508_63_1_7_0_frames.json
54,1,0,0,0,2023-07-13-080236_54_1_0_0_frames.json
64,1,18,0,0,2023-07-19-112134_64_1_18_0_frames.json
52,1,20,0,0,2023-07-06-134438_52_1_20_0_frames.json
44,1,24,0,0,2022-10-28-131357_44_1_24_0_frames.json
31,2,3,0,0,2022-10-27-083751_31_2_3_0_frames.json
34,2,1,0,0,2022-10-27-105501_34_2_1_0_frames.json
68,2,0,0,0,2023-07-20-084305_68_2_0_0_frames.json
37,2,16,0,0,2022-10-27-140827_37_2_16_0_frames.json
65,1,3,0,0,2023-07-19-131305_65_1_3_0_frames.json
37,1,27,1,0,2022-10-27-133927_37_1_27_1_frames.json
48,1,17,0,0,2022-11-01-085734_48_1_17_0_frames.json
45,1,11,2,0,2022-10-31-085847_45_1_11_2_frames.json
52,1,14,4,0,2023-07-06-134438_52_1_14_4_frames.json
65,1,4,0,0,2023-07-19-131305_65_1_4_0_frames.json
38,1,17,3,0,2022-10-27-140545_38_1_17_3_frames.json
38,1,14,9,0,2022-10-27-134814_38_1_14_9_frames.json
38,1,4,0,0,2022-10-27-134814_38_1_4_0_frames.json
